වචනය,"සමාන පදමාලාව"
අණුදක්නය,"[නා.] කුඩා දේවල් විශාල කොට පෙන්වන කාච කිහිපයකින් සමන්විත උපකරණය; කුඩා දේ ලොකු කර පෙන්වන කන්නාඩිය; අණ්වීක්ෂය."
අණුමාත්‍රය,"[නා.] ඉතා සුළු කොටස; ස්වල්ප ප්‍රමාණය; ස්වල්ප මාත්‍රය."
අණුව,"1. [නා.] ද්‍රව්‍යයක් බෙදිය හැකි ඉතා කුඩා කොටස; ද්‍රව්‍යයක කුඩාම පංගුව; පරමාණුව.
<br>2. [නා.] සියුම් මිනුම් ප්‍රමාණයක්; කලා හතරක කාල ප්‍රමාණය.
<br>3. [නා.] දඬුවම.
<br>4. [නා.] නියෝගය; අණ; ආඥාව."
අණ්ඩ,"1. [නා.ප්‍ර.] කකුළු ගෝනුසු ආදින්ගේ ශරීරයේ ඉදිරිපස කොටසේ පිහිටා ඇති කතුරක හැඩය ඇති අවයවය.
<br>2. [නා.ප්‍ර.] කකුල; පාදය; ගාත්‍රය.
<br>3. [නා.ප්‍ර.] කෝප්ප, ජෝගු ආදිය අතින් අල්ලා ගැනීමේ පහසුව සඳහා සවි කොට ඇති කොක්ක.
<br>4. [නා.ප්‍ර.] වෘෂණය."
"අණ්ඩ කෝෂය","1. [නා.] පුරුෂ ව්‍යඤ්ජනයට අයත් අණ්ඩ යුග්මය සහිත කෝෂය; මුෂ්කය; වෘෂණය.
<br>2. [නා.] පුරුෂ ව්‍යඤ්ජනය සම්බන්ධ අණ්ඩ දරා සිටින කොපුව.
<br>3. [නා.] බිත්තරයෙහි කෝෂය; බිජුවක පිට කටුව; බිත්තර කටුව."
අණ්ඩකෝෂ්ඨය,"(පාරිභා.) [නා.] ඇතැම් ප්‍රොටොසොවාවන්ගේ සංයුග්මන ජන්මාණු යුගලයක් වටා සෑදෙන කෝෂය (= oocyst)."
අණ්ඩච්ඡේදය,"[නා.] අණ්ඩ සිඳ දැමීම; වෘෂණ ඉවත් කිරීම; කර ඇඹීම."
අණ්ඩජ,"[වි.] පක්ෂි, උරග, මත්ස්‍යාදි බිජු ලන සත්ත්ව ගණය පිළිබඳ වූ; බිත්තරයෙන් උපදින; අණ්ඩයෙන් ජනිත වූ.
[නා.ප්‍ර.] බිත්තරයෙන් උපදනා සත්ත්ව ගණය."
අණ්ඩජනක,"[වි.] බිජුවටින් පැටවුන් උපදවන; බිත්තර දමන."
"අණ්ඩ ජන්මාණුකතාව","(පාරිභා.) [නා.] විශාල අචල අණ්ඩයක් කුඩා පුං ජන්මාණුවකින් සංසේචනය වන අසම ජන්මාණුකතාව (=Oogamy)."
අණ්ඩජයා,"1. [නා.] බිත්තරයෙන් උපන් සත්ත්වයා; අණ්ඩයෙන් ජනිත වන්නා.
<br>2. [නා.] පක්ෂියා.
<br>3. [නා.] සර්පයා.
<br>4. [නා.] මත්ස්‍යයා."
"අණ්ඩ ජලාබුජතාව","[නා.] ගර්භාශය තුළ බිත්තර පුපුරා පැටවුන් එළියට ඒම; ඩිම්බ ජලාබුජතාව."
"අණ්ඩ දමනවා","[ක්‍රි.] වස්ත්‍රයක හෝ ලී බඩු ආදියක අබලන් වූ තැනකට අමතර කැබැල්ලක් යොදා අලුත්වැඩියා කර ගන්නවා."
අණ්ඩධානිය,"(පාරිභා.) [නා.] අණ්ඩ දරා සිටින කෝෂය; ඩිම්බධානිය (=receptaculum ovorum)."
අණ්ඩනාඩි,"[නා.බහු.] ස්ත්‍රීන්ගේ ගර්භාශය දෙපස සිටි බීජ වාහිනී නාල යුග්මය; අණ්ඩ නාල."
"අණ්ඩප ධරය","[නා.] මලක රේණු ද අණ්ඩප ද අතර තිබෙන දික් වූ ග්‍රාහය."
අණ්ඩපය,"[නා.] ආවෘත බීජක පැළෑටියක බීජයන් දරා සිටින පියල්ල; සපුෂ්ප ශාකවල ඡායා ප්‍රජනක අවයවය; මහා බීජානුපත්‍රය."
"අණ්ඩ පාතනය","(පාරිභා.) [නා.] බිත්තර දැමීම; බිජු දැමීම (=spawning)."
අණ්ඩපාතය,"1. [නා.] මත්ස්‍යයන් වැනි සතුන් දමන බිත්තර වැදැල්ල.
<br>2. (පාරිභා.) [නා.] මෝචනය වූ ශුක්‍රාණු (=spawn)."
අණ්ඩපාලයා,"(කථා.) [නා.] කපටියා; තක්කඩියා; ප්‍රයෝගකාරයා; අණ්ඩයා."
අණ්ඩපීත,"(පාරිභා.) [නා.ප්‍ර.] බිත්තරයේ කහමදය (=yolk)."
"අණ්ඩ පෝෂණය","(පාරිභා.) [නා.] බිජු රැකීම (=incubation)."
"අණ්ඩ මෝචනය","1. [නා.] බිත්තර දැමීම; බිජු දැමීම (=ovulation).
<br>2. (පාරිභා.) [නා.] ක්ෂීරපායින්ගේ ඩිම්බය ඩිම්බ කෝෂයෙන් පිටතට ඒමේ ක්‍රියාවලිය; ඩිම්බ මෝචනය; ඩිම්බ නීහරණය."
"අණ්ඩර දෙමළ","(රූඪි.) [නා.ප්‍ර.] නොතේරෙන බස; නොතේරෙන බසකින් ලියූ හෝ කියූ දෙය."
"අණ්ඩ වාතය, අණ්ඩ වායුව","[නා.] අණ්ඩ කෝෂයෙහි හට ගන්නා ආබාධයක්; අණ්ඩයෙහි වාතය හෝ දිය පිරීම; අණ්ඩය මහත්වීම."
"අණ්ඩ වෘත්තය","(පාරිභා.) [නා.] ඕවලාකාර වෘත්තය; ඉලිප්සය (=ovel)."
"අණ්ඩ සෛලය","[නා.] ඡායා ජන්මාණු සෛලය; ප්‍රථම ධ්‍රැවීය. දේහ ඇති වීමට පෙර වූ චුම්බය; සංසේචනයට සුදුසු වන්නට පෙර අණ්ඩයක ළපටි අවස්ථාව.
"
අණ්ඩාකාර,"[වි.] බිත්තරයක හැඩහුරුකම ඇති; ඕවාල."
"අණ්ඩාකාර ගවාක්ෂය","(පාරිභා.) [නා.] මැද කනෙහි ඇතුල් බිත්තියේ ඇති අණ්ඩාකාර සිදුර; කුම්බිකා කවාටය (=fenestra ovalis)."
අණ්ඩාණුධානිය,"(පාරිභා.) [නා.] අක්මාශාක, පාසි, මීවන ආදි ශාකවල ද නොයෙකුත් විවෘත බීජක වල ද ඡායාලිංගේන්ද්‍රිය; ආකිගෝනිය (=archegonium archegon)."
"අණ්ඩාශය, අණ්ඩාසය","1. (පාරිභා.) [නා.] අණ්ඩකෝෂය.
<br>2. [නා.] ස්ත්‍රී ප්‍රජනන සෛල තැන්පත් ව ඇති පැස; බීජකොපුව; ඩිම්බකෝෂය (=ovary).
<br>3. [නා.] ශාකයක බීජයක් රඳා සිටින කෝෂය."
අණ්ඩෝද්භවය,"[අණ්ඩ+උද්භවය]
(පාරිභා.) [නා.] බිත්තර හට ගැනීම; ඩිම්බ ඇති වීම හා විකසනය වීම; අණ්ඩ ජනනය (=oogenesis)."
අණ්ඩෝරුව,"(කථා.) [නා.] පෙරහැරෙහි දේවාභරණ වැඩමවන දෝලාව."
අණ්ණවියා,"[නා.] (රෝ. ක.) රෝමානු කතෝලික දේවස්ථානයක ගිහි භාරකාරයා හා එහි ආගම උගන්වන තැනැත්තා.
"
"අණ්වීක්ෂ ඡායාරූපය","[නා.] අණ්වීක්ෂයෙන් දැකිය යුතු ක්ෂුද්‍ර වස්තුවක ඡායාරූපය."
අණ්වීක්ෂය,"[නා.] කුඩා දේ විශාල කොට පෙන්වන කන්නාඩිය; අණුදක්නය."
අඬ,"1. [නා.] ශබ්දය; නාදය; රාවය; හඬ.
<br>2. [නා.] බිත්තරය; බිජුවට.
<br>3. [නා.] වෘෂණය."
"අඬ ඇඬියාව","1. (කථා.) [නා.] කෙනෙකුගේ යස ඉසුරු සැප දැක අන් කෙනෙකු ඒ ගැන ඊර්ෂ්‍යා සිතින් කියන දෙය.
<br>2. [නා.] අවලාද නැගීම; ශාප කිරීම.
<br>3. [නා.] යමකුගේ ගුණ හෝ අගුණ නිතරම කියා පෑම."
"අඬගසනවා, අඬගහනවා","1. [ක්‍රි.] හඬ නගා අමතනවා; කෑ ගසා කියනවා; ඝෝෂා කරනවා.
<br>2. [ක්‍රි.] අභිමුඛයට පමුණුවනවා; කැඳවනවා."
අඬදබරය,"[නා.] කෝලාහලය; කලහය; දබරය; අරගලය."
අඬනවා,"1. [ක්‍රි.] වැලපෙනවා; කඳුළු හෙලනවා; රෝදනය කරනවා.
<br>2. [ක්‍රි.] ශබ්ද නඟනවා; හඬක් නිකුත් කරනවා.
<br>3. [ක්‍රි.] රැව් දෙනවා; නාද කරනවා."
අඬබෑය,"[නා.] තම්මැට්ටමේ දකුණු පළුව."
"අඬමුර ගසනවා","[ක්‍රි.] මහත් සේ ශබ්ද නඟා කථා කරනවා; ඝෝෂා කරනවා; කෑකෝ ගසනවා."
අඬලනවා,"1. [ක්‍රි.] කෑ මොර දෙනවා.
<br>2. [ක්‍රි.] (කුකුළා) නාද කරනවා; රැව් දෙනවා."
අඬසන,"[නා.] “හූ” ශබ්දයක් ඇසෙන තරම් දුර; කෑගසන කටහඬ ඇසෙන දුර ප්‍රමාණය."
"අඬහැරය, අඬහැරේ","1. [නා.] මහා හඬින් කෑගැසීම; කෑමොර දීම; උස්හඬ.
<br>2. [නා.] සී සෑම් ආදියේ දී හරකුන් මෙහෙයවීම සඳහා ගී තාලයට නගන උස් හඬ.
<br>3. [නා.] වන සතුන් පලවා හැරීමේ දී ගොවියන් නගන හඬ.
<br>4. [නා.] ඔරු පැදීමේ දී නඟන හඬ.
<br>5. [නා.] ගවයන්ගේ ගෙලෙහි බැඳි සොකඩයෙන් නඟින හඬ."
"අඬා බසිනවා","[ක්‍රි.] ශබ්ද නඟා ගෙන ගලා බසිනවා; හඬ නඟා ගෙන ඇද හැලෙනවා."
අඬාරය,"1. (කථා.) [නා.] හඬ නඟමින් ගලා බසින කුඩා දිය පාර.
<br>2. [නා.] උසට තැනූ අතු පැල හෝ කුඩාරම; උස් වූ මඩුව.
<br>3. [නා.] වල් කොටා ගිනි තැබීමෙන් පසු ඉතිරි වන අකුල්ගොඩ.
<br>4. [නා.] අතු රාශියක් හැම අතට ම විහිදෙමින් උසට වැඩුණු ගස."
අඬු,"1. [නා.ප්‍ර.] බීජ; බිජුවට.
<br>2. [නා.ප්‍ර.] අණ්ඩ; මුෂ්ක.
<br>3. [නා.ප්‍ර.] අඬුව; අණ්ඩ."
අඬුපඬු,"[නා.ප්‍ර.] කුරුමිණි ආදි සතුන්ගේ අඬු වැනි අවයව; ස්පර්ශිකා."
"අඬු පූට්ටුව","(කථා.) [නා.] දත කට පියවීම; දත් යතුරු වැටීම."
අඬුබරියා,"1. (කථා.) [නා.] අඬුවලින් බර වූ හෙවත් අඬු රැසක් ඇත්තා; ඉස්සා.
<br>2. [නා.] ගෝනුස්සා; නුහුසුවා."
"අඬු බහුරා","(කථා.) [නා.] අඬු රැසක් ඇති සතා; පත්තෑයා; ශතපදියා."
අඬුමස්ස,"[නා.] පැරණි කාසියක්; රිදියෙන් බිලී කොක්කක හැඩයට සාදන ලද්දකි."
"අඬු මැස්සා","[නා.] දික් අඬු ඇති මැසි වර්ගයක්; කිරි වදින කාලයේ ගොයමට හානි කරන මැස්සෙක්."
"අඬු මිටිය","(පාරිභා.) [නා.] ඇණ ගැලවීම සඳහා එක් පැත්තක් පෙතැලි කොට අඬුවක් බවට පත් කරවන ලද මිටිය (=claw hammer)."
අඬුව,"1. [නා.] යමක් තදින් අල්ලා ගැනීම සඳහා හෝ උගුල්ලා ගැනීමට හෝ පාචිච්චි කරන ලෝහයෙන් තැනූ උපකරණය; ශල්‍ය අඬුව; යහඬුව; ඩැහි අඬුව සන්දංශය.
<br>2. [නා.] ආත්‍රපෝඩා වංශයට (කකුළු, ගෝනුසු වැනි) අයත් සතුන්ගේ ඉදිරිපස ඇති කතුරක හැඩය ගත් අවයවය.
<br>3. [නා.] කෝප්ප, ජෝගු ආදිය අතින් අල්ලා ගැනීමේ පහසුව සඳහා ඒවාට සවිකොට ඇති කොක්ක.
<br>4. [නා.] කැලෑරොද; ළැහැබ."
අඬෝරය,"(කථා.) [නා.] සමූහයක් එකතුව කරන මහත් ඝෝෂාව; කෑ මොර ගැසිල්ල; ගාලගෝට්ටිය."
අත,"අත
1. [නා.] උරහිස සිට ඇඟිලි කෙළවර දක්වා වූ ශරීරාවයවය.
<br>2. [නා.] බඹයෙන් හතරෙන් කොටස; රියන; දෙවියත.
<br>3. [නා.] අඟල් හතරක පළල; අත්ලෙහි පළල.
<br>4. [නා.] හොඬවැල; ඇත්සොඬ.
<br>5. [නා.] සිවුපාවුන්ගේ ඉදිරි ගාතය.
<br>6. [නා.] පුටුවෙහි වාඩිවී අත තබා ගන්නා ඇන්ද; පුටු ඇන්ද.
<br>7. [නා.] නඟුල්, යන්ත්‍ර ආදියෙහි මිට.
<br>8. [නා.] ක්‍රීඩාවක දී ක්‍රීඩකයෙකුට හෝ ක්‍රීඩා පිලකට ලැබෙන වාරය.
<br>9. [නා.] බුලත් කොළ හතළිහකින් සමන්විත මිටිය; බුලත් අත.
<br>10. [නා.] කෙළවර; අග; අද්දර.
<br>11. [නා.] පැත්ත; දිසාව.
<br>12. [නා.] ඇතුළ; අභ්‍යන්තරය.
<br>13. [නා.] තමා; ආත්මය.
<br>14. [නා.] සිත; මනස; චිත්තය.
<br>15. [නා.] ප්‍රයෝජනය; ශුභ සිද්ධිය; අභිවෘද්ධිය.
<br>16. [නා.] ධනය; වස්තුව.
<br>17. [නා.] තේරුම; අරුත.
<br>18. [නා.] ඉර බැස යෑම; අස්තඞ්ගත වීම; අස්ත පර්වතය."
අතකුරු,"[අත්+අකුරු]
[නා.බහු.] අතින් ලියූ අකුරු."
"අතකුළුව, අතකොළුව","1. [නා.] එක් දැව කුට්ටියකින් සාදා ගැනුණු මිටි විශේෂයක්.
<br>2. [නා.] පඬු පෙවූ සිවුරු තැළීමට ද කොහු තැළීමට ද ගැනෙන කෙටි ලී මුගුර; දඬු මුගුර.
<br>3. (රූඪි.) [නා.] උපාය වශයෙන් යොදා ගනු ලබන්නා; කෙනෙකුගේ කීම අනුව යටත් පහත් මෙහෙයෙහි යෙදී සිටින්නා."
අතක්කාවචර,"[වි.] තර්කයෙන් ඔප්පු කළ නොහැකි; තර්කයට විෂය නොවූ."
අතක්කුව,"(කථා.) [නා.] අසීරුව; අමාරුව; හදිසි උවමනාව."
අතග,"[අත්+අග]
[නා.] අවරගිර; අස්ත පර්වතය."
"අතගැනුම, අතගැන්ම","[නා.] පාණිග්‍රහණය; ආවාහ විවාහය."
අතගුළ,"[අත+අගුළ]
[නා.] අතින් අරින වහන දොර අගුළ."
අතතය,"[නා.] එක් මුහුණක් ඇති බෙරය; එකැස් බෙරය."
අතථාකාර,"[වි.] සත්‍ය ආකාරයෙන් තොර."
අතථාභූත,"[වි.] එසේ නොවූ."
අතථ්‍ය,"1. [වි.] සැබෑ නොවූ; බොරු.
<br>2. (පාරිභා.) [වි.] කාල්පනික (=virtual)."
"අතථ්‍ය යථාර්ථය","[නා.] පරිගණකයක උපකාරයෙන් නිර්මාණය කර ගන්නා කෘත්‍රිම පරිසරය."
අතදරුවා,"[නා.] ළදරුවා; බිලිඳා."
"අතන්ද්‍ර, අතන්ද්‍රිත","[වි.] අනලස්; නොමැළි."
අතපත්තුව,"[නා.] සිංහල රාජ්‍යයෙහි සේවා මඬුල්ලක්; ආරක්ෂක සේවය භාර පිරිස."
අතපය,"[නා.] අත් හා පාද; හස්ත පාද."
"අතපය කඩුත්තුව","[නා.] අතපයෙහි රුදාව; අතපයෙහි වේදනාව."
"අතපිට මුදල","[නා.] එවේලේ ම ගෙවන මුදල."
අතපුර,"1. [නා.] බිසෝවරුන් වසන ඇතුළු මාලිගාව; අන්තඃපුරය.
<br>2. [නා.] ඇතුළු නුවර; නගර අභ්‍යන්තරය."
අතබාල,"[වි.] ළපටි; ළාබාල."
"අතබැඳි ණය","(කථා.) [නා.] පෞද්ගලික විශ්වාසය පිට ගත් ණය."
අතබැලීම,"(කථා.) [නා.] අත්ලෙහි රේඛා ලකුණු බලා පලාපල කීම."
අතමාරුව,"[නා.] හදිසි උවමනාවන් සඳහා පොලී රහිත ව ඉක්මනින් ආපසු දීමට පොරොන්දු වී ලබා ගන්නා ණය."
අතමිට,"[නා.] කෙනෙකු සන්තක දෙය; වස්තුව; මිල මුදල්."
අතමේ,"1. [නා.ප්‍ර.] අතින් කරන මෙහෙය; මෙහෙවර; අත් උදවුව.
<br>2. [නා.ප්‍ර.] සිංහල රාජ්‍ය කාලයේ දී යම් යම් කටයුතු ගම්වැසියන්ට දැනුම් දීමට නියම සිටි තැනැත්තා."
"අතඹුල, අතැඹුල","[නා.] (අත්ලෙහි තිබූ නෙල්ලි ගෙඩිය යනු වාච්‍යර්ථයි) ඉතා පැහැදිලි ලෙස යමක් දැකීම; අවබෝධ කිරීම; ඇඟවීම."
අතයට,"[ක්‍රි.වි.] අප්‍රසිද්ධියේ; හොර රහසේ."
අතයටත,"[නා.] අත් අඩංගුව; වසඟය."
අතරණ,"1. [නා.] සන්නාහය; කවචය.
<br>2. [නා.] ඇතිරිල්ල; ආස්තරණය."
අතරමැදි,"[වි.] දෙකක් හෝ දෙපිරිසක් අතරෙහි වූ; දෙකකට අතර මැද පිහිටි; අන්තඃස්ථ."
අතරමැදියා,"[නා.] දෙදෙනෙකු හෝ කීප දෙනෙකු අතර සිදුවන ගනු දෙනුවක දී හෝ ක්‍රියාවක දී ඊට සම්බන්ධ වී ක්‍රියා කරන පුද්ගලයා.
"
අතරවාරය,"[නා.] අතරතුර වේලාව; යම්කිසි අවස්ථා දෙකක් අතර කාලය."
අතර්ක්‍ය,"[වි.] සිතිය නොහැකි; අචින්ත්‍ය."
අතල,"[වි.] ඉතා ගැඹුරු; අගාධ.
[නා.] අත්ල; හස්තතලය."
අතලස්පර්ශ,"[වි.] පතුල ස්පර්ශ නොකළ හැකි තරම් ගැඹුරු; ඉතා ගැඹුරු; අගාධ."
"අතලෙහෙවුව, අතලේහුව","(කථා.) [නා.] අත්උදවුව."
"අතලොඹුව, අතොලොඹුව","1. [නා.] (ආධාර වශයෙන්) එල්ලීමට හෝ අල්ලා ගැනීමට දෙන අත.
<br>2. [නා.] ආධාරය; පිහිට; පිළිසරණ."
"අතවරය, අතෝරය","1. [නා.] හිරිහැරය; වධය.
<br>2. [නා.] ස්ත්‍රී දූෂණය.
<br>3. [නා.] බලිතොවිල් වල දී කරන ආවතේවය.
<br>4. [නා.] භාරගත් කටයුත්තක් පිළිබඳ බැඳී සිටීම."
"අතවස, අතවැස, ඇතවස","[නා.] වර්ෂා කාලය; වර්ෂා ඍතුවෙහි භික්ෂූන් වස් වසන කාලය."
"අතවැසියා, අතවැස්සා","[නා.] යම් ජ්‍යෙෂ්ඨයෙකු වෙත වසන සේවකයා; අන්තේවාසිකයා; ශිෂ්‍යයා."
"අතවුරු, අතඋරු, ඇතොවුරු","1. [නා.ප්‍ර.] බිසෝවරුන් වසන ඇතුළු මාලිගය; අවරෝධය; ශුද්ධාන්තය.
<br>2. [නා.ප්‍ර.] ඇතුළු මාලිගාවෙහි වසන බිසෝවරුන් සමූහය; අන්තඃපුර ස්ත්‍රීහු.
<br>3. [නා.ප්‍ර.] ඇතුළු නුවර."
අතහ,"(කථා.) [නා.] බැම්ම; කඳු නැග යන තවලම්වල ගවයන් පිට පැටවූ බර පහළට ලිස්සා නොයන සේ ගවයාගේ ඉස්සරහ කකුල්වලට ඉහළින් වූ බැම්ම."
අතහන,"[නා.] අත්සන; සලකුණ."
අතළගල,"[නා.] ගල්තලාව; ගල්පොත්ත."
"අතළය, අතළාව, අතළේ","[නා.] කුඩා කළ විශේෂයක්."
අතළොස්ස,"1. [නා.] බොකු ගැසූ අත්ල.
<br>2. [නා.] බොකු ගැසූ අත්ලෙහි රඳනා ප්‍රමාණය; ස්වල්පය; ටික."
අතාත්වික,"1. [වි.] අස්වාභාවික; නියත තත්ත්වයට වෙනස්; අසත්‍ය ස්වභාවයෙන් යුත්.
<br>2. [වි.] සත්‍ය වශයෙන්ම නැතත් ප්‍රතිඵල තිබෙන; කල්පිත (=virtual)."
අතාවුද,"1. [නා.ප්‍ර.] ආයුධ සන්නද්ධ මුර හේවායා; ආරක්ෂක හේවායා.
<br>2. (කථා.) [නා.ප්‍ර.] කෙත් අයිතිකරු වෙනුවෙන් අස්වැන්න ආරක්ෂාවට හා බෙදාගෙන ඒමට තැනැත්තා."
අතැන්වැසි,"[වි.] තැන්පත් නොවූ; නොහික්මුණු."
අති,"[වි.] අධික, අතිශය යනාදි අර්ථවල යෙදෙන උපසර්ගයක්."
අතිඅණ්වීක්ෂය,"(පාරිභා.) [නා.] අති සියුම් වස්තුවල හැඩය නොව ඒවා ඇති නැති බවද පෙන්වන අණ්වීක්ෂයක් (=ultra micro scope)."
අතිකාල,"[නා.] නියමිත වේලාවට වඩා වැඩියෙන් වැඩ කිරීම; රාජකාරී වේලාවට අමතරව වැඩිපුර කරන වැඩ කොටස."
අතිකාලදීමනා,"[නා.ප්‍ර.] නියමිත කාල වේලාවට අමතරව රාජකාරි කරන කාලය සඳහා මුදලින් ගාස්තුව."
"අතික්‍රමණය, අතික්‍රමය","[නා.] ඉක්මවීම; පසු කර යෑම; එතෙර වීම; (කාලය) ගත කිරීම."
"අතිවරණය, අතිවරය","[නා.] අනාචාරය; කාමමිථ්‍යාචාරය."
අතිජාත,"[නා.ප්‍ර.] පියාට වඩා සෑම අතින්ම උසස් තත්ත්වයට පත් වන්නා; මව්පියන්ට වඩා යසසින් තනතුරු ආදියෙන් ඉහළ තත්ත්වයක් ලබා ගන්නා පුත්‍රයා."
අතිධ්වනිය,"[නා.] කනට නො ඇසෙන ප්‍රමාණයේ ධ්වනිය; මිනිස ශ්‍රව්‍යතාවේ උඩත් සීමාවට වඩා වැඩි සංඛ්‍යාතවලින් යුතු කම්පන තරංග."
අතිපණ්ඩිත,"[වි.] පමණට වඩා උගත්කම් පෙන්වන; නැති පණ්ඩිතකම් පෙන්වන; පණ්ඩිත ප්‍රතිරූපක."
අතිපාතය,"[නා.] නැසීම; වැනසීම."
අතිමඤ්ඤනාව,"[නා.] (තමන්) උසස් කොට සිතා ගැනීම; (අනුන්) හෙළා දැකීම."
අතිරක්තය,"1. [නා.] ඍතු ලෙය අධික ව වහනය වීම; ලේ මාලය.
<br>2. [නා.] රක්ත වර්ණය නිසා මුතුවල ඇතිවන පලුද්දක්.
<br>3. [නා.] ඖෂධයක නාමය; සාදිලිංගම්."
"අතිරස, අතිරහ","[නා.ප්‍ර.] පාරම්පරික රස කැවිලි වර්ගයක්; පූප විශේෂයක්."
අතිරික්ත,"1. [වි.] ඉතිරි වූ; ශේෂ වූ.
<br>2. [වි.] වැඩිමනක්; අධික.
<br>3. [වි.] උතුරා ගිය; ඉතිරී ගියා වූ.
1. [නා.] ඉතිරි කළ භෝජනය.
<br>2. [නා.] වැඩිමනත් පංගුව; අධිකය.
<br>3. (පාරිභා.) [නා.] වර්ෂාපතන හිමපතන ආදියෙන් පොළවට උරා නොගෙන, වාෂ්ප නො වී සමුද්‍රය කරා බැස යන ජලය ( run off)."
අතිරේකය,"1. [නා.] වැඩිපුර කොටස හෝ දෙය; අධිකය.
<br>2. [නා.] ප්‍රවෘත්ති පත්‍ර ආදියෙහි වැඩිපුර පළ කරන විශේෂ කොටස."
අතිරෝග,"[නා.ප්‍ර.] ක්ෂය රෝගය."
අතිවර්ති,"[වි.] ඉක්මවා පවතින; අතික්‍රමණය කරන."
අතිවර්ෂ,"[නා.ප්‍ර.] අධික වර්ෂාව."
අතිවාක්‍ය,"[නා.ප්‍ර.] ඉක්ම පැවති තෙපුල්; ආක්‍රෝශ වචන; ගර්හා වචන."
අතිවේගය,"1. [නා.] අධික වේගය; අති ශීඝ්‍රතාව.
<br>2. [නා.] බලවත් රෝග වේදනාව.
"
අතිව්‍යාප්තිය,"1. [නා.] (න්‍යාය.) ප්‍රමාණය ඉක්මවා පැතිර යෑම; ප්‍රස්තුත කරණය ඉක්මවා පැවතීම.
<br>2. (පාරිභා.) [නා.] සීමාවෙන් ඔබ්බෙහි යමක් වසා ගෙන පැතිරීම (=overlap)."
අතිශක්මතාව,"(පාරිභා.) [නා.] අධික විදුලි ශක්තියක් ඇති බව; අතිශය විදුලි බල වේගය දරන බව (=high tension)."
"අතිශය, අතිසය","[වි.] ඉතා වැඩි; අධික.
[නා.] අධිකතාව."
"අතිශය ප්‍රත්‍යය","[නා.ප්‍ර.] (ව්‍යාක.) අතිශයාර්ථයෙහි හෙවත් විශේෂාර්ථයෙහි යෙදෙන තර, තම ආදි ප්‍රත්‍යය."
අතිශයාලංකාරය,"[නා.] අතිශයෝක්ති වූ කාව්‍යාලංකාරය."
අතිශයෝක්තිය,"1. [නා.] අධික කොට කීම; අධික වර්ණනාව.
<br>2. [නා.] එනම් කාව්‍යාලංකාරය; ලෝක සීමාව ඉක්මවා කීම."
අතිශයෝපමාව,"[නා.] උපමානයට වඩා උපමේයෙහි යම්කිසි අධික බවක් ප්‍රකට කරන උපමාව."
අතිසත්වාදය,"1. (පාරිභා.) [නා.] සාමාන්‍ය වචනවලින් නිරූපණය වන්නේ සත්‍ය පැවැත්ම බව යථාර්ථයෙන් ම ඇදහීම (=super realism).
<br>2. [නා.] ප්‍රොයිඩ්ගේ සිද්ධාන්ත අනුව උපවිඥානයේ සිහින නිරූපණය කරන නූතන කලා නිර්මාණ ක්‍රමයක් (= surrealism).
"
අතිසරණය,"[නා.] පමණ ඉක්මවා මල පහ වීම."
අතිසර්ගය,"1. [නා.] දීම.
<br>2. [නා.] අවසර දීම; අනුදැනීම."
අතිසූක්ෂ්ම,"1. [වි.] ඉතා සියුම්; තේරුම් ගැනීමට බෙහෙවින් අපහසු.
<br>2. (පාරිභා.) [වි.] ඉතා කුඩා; අත්‍යණුක; අතික්ෂුද්‍ර.
[නා.ප්‍ර.] (සංගී.) නාදයෙහි පස් වැදෑරුම් වූ ප්‍රභේදවලින් එකක්."
අතිසේක,"(පාරිභා.) [නා.ප්‍ර.] ද්‍රවයක යම් ද්‍රාව්‍යයක් දිය වීමේ සම්පූර්ණ අවස්ථාවට පැමිණීම; සන්තෘප්තිය (=saturation)."
අතිස්ථාන,"[නා.ප්‍ර.] අධික වේලාවක් නැඟිට සිටීම."
අතිස්‍රාවය,"1. [නා.] ස්ත්‍රී රෝගයක්; අධික ව ලේ යෑම.
<br>2. [නා.] ලේ වහනය වන මූත්‍ර රෝගයක්."
අතිස්වේදය,"1. [නා.] අධික ලෙස ඩහදිය ගැලීම; අතිශයින් ස්වේද වහනය වීම.
<br>2. [නා.] අධික ලෙස ඩහදිය ගැලීම ලක්ෂණ කොට ඇති රෝගයක්."
අතිහරණය,"1. [නා.] ගමන් කිරීමේ දී නැඟු පය ඉදිරියට තැබීම.
<br>2. [නා.] යම් කිසිවක් එක් තැනක සිට තවත් තැනකට ගෙන යෑම; ඉවත් කිරීම."
අතිහසිතය,"[නා.] විකාර ස්වභාවයෙන් හිස, දෙ අත්, දෙ උරහිස ආදිය නටවමින් කරනු ලබන අධික සිනාව; සවැදෑරුම් සිනාවන් අතුරෙන් එකක්."
අතීක්ෂ්ණ,"1. [වි.] නොතියුණු; නොසියුම්.
<br>2. [වි.] මන්ද; බාල; මුග්ධ."
අතීත,"1. [වි.] ගත වූ; පසුගිය; ඉකුත් වූ.
<br>2. (කථා.) [වි.] ඉතා හිතවත්; ඉතා කුලුපග වූ."
අතීතංස,"[නා.ප්‍ර.] අතීත භවය."
