"පාලි වචනය","සිංහල පරිවර්තනය"
"සට්ඨිහායන ","(3) අවුරුදු හැටක් වයසැති."
සට්ඨුං,"(නි) හැර දමන්ට."
සඨ,"(චු) අසම්බාභාසනෙ, මනාකොට නොබිණීමෙහි, සඨෙති සඨයති, මනාව නොබිණියි."
සඨ,"(චු) කෙරාටිකෙ, කෛරාටික වීමෙහි, සඨෙති සඨයති, සඨෙති, සඨයති, කෛරාටිකවෙයි."
සඨ,"(චු) ගුණකථනෙ, ගුණකීමෙහි, සඨෙති, සඨයති, ගුණ කියයි."
සඨ,"(චු) පටිසංඛරණෙ, සකස් කිරීමෙහි, ගමනෙ, යාමෙහි, සඨති, සඨයති, සකස් කරයි, යෙයි."
සඨ,"(පු) කපටියා, කෛරාටිකයා."
සඨ,"(පු) සඨබව, කපටිබව."
සඨ,"(භු) කෙරාටිකෙ, කෛරාටික වීමෙහි, සඨති, කපටි වෙයි."
සඨ,"(භු) බලක්කාරෙ, බලාත්කාරයෙහි, සඨති, බලාත්කාරකම් කරයි."
"සඨ ","(3) කපටි වූ; (පු) කපටියා; වංචාකාරයා."
සඨතා,"(ඉ) කපටි බව."
සඨිල,"(ති) බුරුල්, ලිහුණු."
"සංඩඩ්ඪමාන ","(3) වැඩෙන."
සඩි,"(භු) පඳුරුලීමෙහි, ගොඩකිරීමෙහි, සෙලවීමෙහි."
සඩි,"(භු) රුජායං, රුදාවෙහි, සණ්ඩති, රිදේ."
සණ,"(චු) දානෙ, දීමෙහි, සණෙති, සණයති, දෙයි."
සණ,"(පු) හණ."
සණ,"(භු) අව්‍යත්තෙසද්දෙ, අව්‍යක්ත ශබ්දයෙහි, සණති, ශබ්ද කෙරෙයි."
සණ,"(භු) දානෙ, දීමෙහි, සණති, දෙයි."
සණති,"(ක්‍රි) (d) (භු) දා, දානෙ, දිමෙහි + ති) දෙයි, දානය කරයි."
සණති,"(සණ+අ) නාද කෙරේ; ශබ්ද කෙරේ."
සණධොපික,"(ති) හණ සේදීම."
සණික,"(දි) වහා, ඉක්මන."
සණ්ඨ,"(පු) බට වර්‍ගයක්."
සණ්ඨපන,"(න) තැබීම, පිහිටුවීම."
සණ්ඨපන,"(න) පිහිටුවීම; මනාසේ තැබීම."
සණ්ඨපෙති,"(සං+ඨා+ණා පෙ) පිහිටුවයි; මනාසේ තබයි."
සණ්ඨපෙතුං,"(නි) පිහිටුවන්ට."
සණ්ඨපෙත්වා,"(පූ.ක්‍රි) පිහිටුවා."
"සණ්ඨපෙන්ත ","(3) පිහිටුවන; පිහිටුවමින්; මනා‍සේ තබමින්."
සණ්ඨහන,"(න) නැවත පිහිටීම; නැවත හටගැන්ම."
සණ්ඨහිත්වා,"(පූ.ක්‍රි) පිහිටා."
සණ්ඨාති,"(සං+ඨා+අ) නිශ්චල වේ; පවතී; පිහිටයි."
සණ්ඨාතුං,"(නි) පිහිටන්ට."
සණ්ඨාන,"(න) ආකාරය; පෙනීම; සටහන."
සණ්ඨාන,"(න) චිහණය, ආකෘතිය, සලකුණ."
"සණ්ඨිත ","(3) නැවතුණු; නිශ්චල වූ; පිහිටි."
සණ්ඨිති,"(ඉ) පැවැත්ම; පිහිටීම."
සණ්ඨිති,"(ඉ) ස්ථිතිය, පිහිටීම."
සණ්ඩ,"(පු) ගස් සමූහය; රොද; සමූහය."
සණ්ඩ,"(පු) සමූහය, රංචුව, රැල."
සණ්ඩාස,"(පු) අඩුව."
සණ්ඩාස,"(පු) අඬුව."
සණ්ණ,"(ති) මොලොක්, මෘදු."
"සණ්හ ","(3) තේරුම් ගැනීමට අපහසු; මට්ටම්; මෘදු; සියුම්."
සණ්හකරණී,"(ඉ) ඇඹරුම් ගල; මට්ටම් කිරීමට ගන්නා උපකරණය (හුණු හැන්ද වැනි)."
සණ්හිකා,"(ඉ) හෙණ්ඩුව, අංශුව."
සණ්හෙති,"(ක්‍රි) (d) (භු) හන, ගතියං, යෑමෙහි + ණෙ + ති) පීරයි."
සණ්හෙති,"(සණ්හ+ණෙ) අඹරයි; මට්ටම් කරයි; සියුම් කරයි."
සත,"(න) සියය, බොහෝ."
සත,"(න) සියය."
"සත ","(3) සිහි ඇති."
සතක,"(න) සියයේ සමූහය."
සතක,"සියයක් ඇති."
සතකකු,"විදුලිය, සතක්කකු."
සතකොටි,"(පු) සියක් කෝටිය."
"සතක්කකු ","(3) සියගණන් මුදුන් ඇති; සියගණන් මොල්ලි ඇති."
සතක්ඛත්තුං,"(අ) සියක්වර."
සතක්ඛත්තුං,"(ක්‍රි.වි) සියක් වරක්."
සතඞ්ග,"(පු) යුද්ධරථය."
සතත,"(න) නිරන්තරය."
සතතං,"(ක්‍රි.වි) නිරන්තරයෙන්."
"සතත ","(3) නිතර පවත්නා."
"සතථගමනීය ","(3) තවලම් පිරිසක් සමග යා යුතු (මග)."
සතධා,"(අ) සත්ප්‍ර‍කාරයකින්, සත් පරිද්දකින්"
සතධා,"(නි) සියක් ආකාරයකින්."
සතපත්ත,"(න) නෙලුම්මල; පියුම."
සතපත්ත,"(න) පෙතිසියය, පියුම."
සතපත්ත,"(පු) කෑරලා."
සතපත්ත,"(පු) විල් ළිහිණියා."
සතපදී,"(ඉ) පාසියයක් ඇත්තා, කන්වෑයා, පත්තෑයා."
"සතපදී ","(3) කන්වෑයා; පත්තෑයා; සියක් පා ඇත්තා."
සතපබ්බ,"(පු) පුරුක් සියයක් ඇති, හුණගස."
සතපබ්බිකා,"(ඉ) වදකසා, හීතණ."
"සතපල ","(3) පලම් සියයක් බරැති."
"සතපාක ","(3) සියක් වරක් පැසවූ (තෙල් ආදිය)."
සතපුඤ්ඤ,"(න) ඉතා බොහෝවූ පුන්‍ය බලය."
සතපුඤ්ඤලක්ඛණ,"(න) බුදුරජ."
"සතපුඤ්ඤලක්ඛණ ","(3) සිය ගණන් පින් ලකුණු ඇති."
සතපොරිස,"(න) පුරුෂ ප්‍ර‍මාණ සතක්, සත් බඹයක්."
"සතපොරිස ","(3) මිනිස් ප්‍රමාණ සියයක් ගැඹුරැති."
සතප්පාස,"(පු) කණේරුගස."
සතභිසජ,"(පු) සියාවස නැකත."
සතමූලී,"(ඉ) සාතාවාරිය."
සතමූලී,"(ඉ) හාතාවාරිය."
සතරංසි,"(පු) සියක්රැස් ඇත්තා, ඉරු."
සතරංසී,"(පු) සූර්යයා."
සතලක්ඛගුණ,"(න) සියක් ලක්ෂගුණය, සියක් ලක්ෂයෙන් වැඩි කිරීම."
සතවඞ්ක,"(පු) මත්ස්‍ය විශේෂයක්."
සතවිරියා,"(ඉ) සුදු හී තණ."
සතසහස්ස,"(න) ලක්ෂය."
සතසහස්ස,"(න) සියක් දහස."
සතාවරී,"(ඉ) සතාවාරිය."
සති,"(ඉ) ස්මෘතිය, සිහිය."
සති,"(ඉ) ස්මෘතිය; සිත විපතට වැටෙන්න නොදී රක්නා චෛතසිකය; සිහිය."
සතික,"(පු) සියයක් ඇති."
සතික,"සියක් දෙනෙකුන් ඇති."
සතිතා,"(ඉ) සිහි ඇති බව."
සතින්ද්‍රිය,"(න) ප්‍රධානත්වය පවත්වන ස්මෘතිය."
සතින්ද්‍රිය,"(න) ස්මෘතෙන්ද්‍රියය."
සතිපට්ඨාන,"(න) සිහිය එක් තැනක පිහිටවීම."
සතිපට්ඨාන,"(න) සිහිය පිහිටවීම."
සතිම,"(අ) සියවැනි, 100 වැනි."
සතිමන්තු,"(3) බො‍හෝ දේ සිහිකළ හැකි; සිහි ඇති."
සතිලක,"(පු) කලු හීතණ."
සතිවිනය,"(න) එනම් විනය කර්‍මය."
සතිවොස්සග්ග,"(පු) සිහිමුළාව."
සතිවොස්සග්ග,"සිහි මුර්ඡාව."
සතිසම්පජඤ්ඤ,"(න) සිහිය හා නුවණ."
සතිසම්බොජ්ඣඞ්ග,"(පු) නිවන් ලැබීමට උපකාර වන පිරිසිදු සිහිය."
සතිසම්මොස,"(පු) සිහිමුළාව; සිහිය නැති වීම."
සතිසම්මොහ,"(පු) සිහිමුළාව; සිහිය නැති වීම."
සතිසංවර,"(න) සතිසංවරය, සිහිය ඇතිකිරීම."
සතී,"(ඉ) පතිව්‍රතා ස්ත්‍රිය; සිය සැමියා නො ඉක්මවන්නී."
සතී,"(ඉ) පතීවෘතා ඇත්තී."
සතුල්ලපකායික,"(පු) එනම් සත්වලෝකය."
සතෙකිච්ඡ,"(පු) පිළියම් සහිත, පිළියම් කළහැකි."
"සතෙකිච්ඡ ","(3) අසාධ්‍ය නොවූ; පිළියම් කිරීමට හැකි."
සතෙරතා,"(ඉ) විදුලිය."
සතෙරතා,"(ඉ) විදුලිය."
සත්කරිත්වා,"(පූ.ක්‍රි) සත්කාර කොට."
සත්ත,"(චු) ගමනෙ, යාමෙහි, සත්තෙති, සත්තයති, යෙයි."
සත්ත,"(ති) ඇලුණු."
සත්ත,"(න) ද්‍ර‍ව්‍යය, අත්බව, ජීවිතය, ශක්තිය, විද්‍යමානත්වය."
සත්ත,"(පු) සත්වයා, සතා - 7"
"සත්ත ","(3) ඇලුණු; හත; (පු) ප්‍රාණියා; සත්වයා; සතා."
සත්තක,"(න) ‍හතේ සමූහය."
සත්තකි,"(ඉ) මෙවුල්දම."
සත්තක්ඛත්තුං,"(අ) සත්වරක්, හත්වාරයක්."
සත්තක්ඛත්තුං,"(ක්‍රි.වි) හත් වරක්."
"සත්තගුණ ","(3) හත් පටක් වූ."
සත්තතන්ති,"(ඉ) තත් හතක් ඇති (වීණා)."
"සත්තතාලමත්ත ","(3) වියත් සතක් හෝ තල්ගස් සතක් උසැති."
සත්තති,"(ඉ) සැත්තෑවයි, 70."
සත්තති,"(ඉ) හැත්තෑව."
සත්තතිංසා,"(ඉ) තිස්හත."
"සත්තදස ","(3) දහ හත."
සත්තධඤ්ඤ,"(න) සප්තවිධ ධාන්‍යය, වී, මුං ආදී සත් වැදෑරුම් ධාන්‍යය."
සත්තධා,"(අ) සත් පරිද්දකින්, සප්ත ප්‍ර‍කාරයකින්."
සත්තපණ්ණි,"රුක් අත්තන ගස."
සත්තපණ්ණී,"(පු) රුක් අත්තන ගස."
"සත්තභූමක ","(3) සත්මහල් ඇති."
සත්තම,"(ති) සත්වෙනි, සත්වන, ප්‍ර‍ශස්තයා."
"සත්තම ","(3) ඉතා යහපත්; සත්වෙනි."
සත්තමහාසර,"(පු) සප්තවිධ මහවිල්."
සත්තමී,"(ඉ) ආධාර විභක්තිය; සත්වෙනි දිනය."
සත්තරතන,"(න) සක්විති රජුගේ රත්න හත; සත් රුවන්."
සත්තරතන,"(න) සප්තවිධ රත්නය."
සත්තරතන,"(න) හස්ති රත්නය, අශ්ව, ඉත්ථි, ගහපති, මණි, චක්කරත්නය යන පස."
සත්තරත්ත,"(න) සත් රැයක්; සතියක්."
සත්තරස,"(අ) දහහත, 17."
"සත්තරස ","(3) දහ හත."
සත්තරි,"(ඉ) සැත්තෑව."
සත්තලා,"(ඉ) සත්පෙති දෑ සමන්."
සත්තලා,"(ඉ) සත්පෙති දෑසමන්."
සත්තලොක,"(පු) සත්වාවාසය."
සත්තව,"(පු) සතුරා, හතුරා."
"සත්තවස්සික ","(3) සත්හැවිරිදි."
සත්තවිඤ්ඤාණට්ඨිති,"(ඉ) සප්ත විඥානස්ථිති."
සත්තවීසති,"(ඉ) විසි හත."
සත්තසට්ඨි,"(ඉ) හැට හත."
සත්තසත්තති,"(ඉ) හැත්තෑ හත."
සත්තසිත,"(ති) භයකළ, බියගැන්වූ."
"සත්තාගාරික ","(3) ගෙවල් සතකට පමණක් යන."
සත්තාච්චි,"(පු) වහ්නිය, ගින්න."
සත්තානුසය,"(පු) කාමානුසය ආදි අනුසය සත"
සත්තාසීති,"(ඉ) අසූ හත."
සත්තාහ,"(න) සතිය, සද්දිනය."
සත්තාහ,"(න) සත් දවස; සතිය."
සත්ති,"(ඉ) ආයුධය, පක්ෂියා, ශක්තිය, අශ්වයා."
සත්ති,"(ඉ) බයිනෙත්තුව; ශක්තිය; ශස්ත්‍රය."
සත්තිධර,"(පු) කඳ කුමරු, අඩයටි දරන්නා."
සත්තිසූල,"(න) ශස්ත්‍රයේ උල; ශස්ත්‍රයේ තලය."
සත්තු,"(පු) අක්සුණු, අග්ගලා, බැදි හාල්කුඩු, අමිත්‍ර‍යා."
සත්තු,"(පු) අත්සුණු; බැදපු පිටි; සතුරා."
සත්තුක,"(පු) සතුරා, හතුරා, විරුද්ධකාරයා."
සත්තුත්තම,"(පු) සත්වොත්තම, සර්‍වඥ."
සත්තුභස්තා,"(ඉ) අත්සුණු දමන සම් පසුම්බිය."
සත්තුවලා,"(ඉ) සෑම් ගස්."
සත්තුස්සද,"(පු) සප්තස්ථානයකින් උස්, කරුණු සතකින් උසස්."
සත්ථ,"(න) ආයුධය; තවලම; වෙළඳාම සඳහා බඩු ගෙනයන පිරිස; ශස්ත්‍රය; ශාස්ත්‍රය."
සත්ථ,"(පු) ලෝහය, සමූහය."
සත්ථක,"(න) කුඩා පිහිය."
සත්ථක,"(පු) වෙළෙන්දා, ගැල්වලින් ගොස් වෙළඳාම් කරන්නා."
සත්ථකනිසාදන,"(න) පිහියා මුවාත තබන ගල."
සත්ථකම්ම,"(න) වෛද්‍යකු විසින් ආයුධ යොදා කරන පිළියම; සල්‍යකර්මය."
සත්ථකවාත,"(පු) ශස්ත්‍රයක් මෙන් නපුරු වාත රෝගය."
සත්ථවාහ,"(පු) ගැල්වලින් බඩු ගෙන ගොස් වෙළඳාම් කරන්නා."
සත්ථවාහ,"(පු) තවලම් පිරි‍සේ ප්‍රධානයා; සාත්තු නායකයා."
සත්ථවාහ,"(පු) සාර්‍ථවාහකයා, වෙළඳ නායකයා"
සත්ථවාහක,"(පු) බුදුරජ."
සත්ථාදි,"(පු) සත්වරජස් යනාදිය."
සත්ථාර,"(පු) ශාස්තෘන් වහන්සේ, බුදුරජ."
සත්ථි,"(ඉ) කලවය."
සත්ථි,"(ඉ) ශක්තිය, අඩයටිය."
සත්ථි,"(න) ආයුධය, ශස්ත්‍ර‍ය."
සත්ථි,"(පු) - (න) කළවය."
සත්ථික,"(පු) වෙළඳමේ යන සමූහයට අයත් මිනිසා."
සත්ථු,"(පු) ආචාර්යයා; බුදුරද; ශාස්තෘ."
සත්ථු,"(පු) ශාස්තෘ, බුදුරජ."
"සත්ථු අන්වය","(පු) ශාස්තෘ පරම්පරාව."
සත්ථුක,"(පු) ගුරුවරයෙකු ඇත්තා."
සත්ථුවණ්ණ,"(න) රත්රන්."
සත්ථුවණ්ණ,"(පු) සර්‍වඥ ශරීරවර්‍ණය, රත්රන්, ස්වර්‍ණවර්‍ණ."
සථ,"(චු) දුබ්බලෙ, දුර්‍වලබැව්හි සථෙති සථයති දුර්‍වල කරයි."
සථ,"(චු) බන්ධෙ, බැඳීමෙහි, සථෙති, සථයති, බඳියි."
සථ,"(භු) සාථිල්ල්‍යෙ සිථිල භාවයෙහි, සථති, ළිහිල්වේ."
සද,"(චු) අස්සාදෙ ආශ්වාදයෙහි, සාදෙති සාදයති, ආශ්වාදය කෙරෙයි, අස්සාදයති."
සද,"(භු) රසස්සාදෙ, රසවිදීමෙහි, සදති, රසවිඳියි."
සද,"(භු) විකිරණෙ, ගතිනිසෙධෙ, විසිරීමෙහි ගමන් වැලක්මෙහි, සිදති, විසිරෙයි, ගමන් වලකියි පසීදති."
සදත්ථ,"(පු) තමාගේ යහපත; යහපත් වැඩය."
සදත්ථ,"(පු) ස්වකීය අර්ථය, ආත්මාර්ථ, තමාගේ ප්‍රයොජනය."
සදන,"(න) ගෙය, වාසස්ථානය."
සදන,"(න) ගෙය."
"සදර ","(3) දාහසහිත; සිත් තැවුල් ඇති."
"සදස ","(3) එල්ලෙන කොන් ඇති; දාවලු ඇති."
සදස්ස,"(පු) යහපත් අශ්වයා."
සංදස්සන,"(න) මනාකොට, කරුණු දැක්වීම."
සදා,"(අ) සත්තයෙහි, සැමකල්හි."
සදා,"(නි) හැමකල්හි."
සදාගති,"(ඉ) සුළඟ, වාතය."
සදාතන,"(ඉ) නොනස්නා දෙය, විනාශ නොවන දෙය."
"සදාතන ","(3) සදාකාලික; හැමකල්හි පවත්නා."
සදාර,"(පු) ස්වකීය භාර්යාව."
සදාරතුට්ඨි,"(පු) ස්වදාරාසන්තෝෂය, සියබිරින්ද හා සතුටුවීම."
සදිස,"(ති) සමාන, සදෘශ, වැනි, වාගෙ."
"සදිස ","(3) සමාන වූ."
සදිසත්ත,"(ති) සදෘශබව, සමානභාවය."
සදිසත්ත,"(න) සමාන බව."
සදුව,"(පු) - (න) ගෙය, ගෘහය."
සදෙවක,"(පු) දෙවියන් සහිත."
"සදෙවක ","(3) දෙවියන් සහිත."
සදෙස,"(පු) ස්වකීය දේශය, සමීපය."
සද්ද,"(චු) සද්දෙ, ශබ්ද කිරීමෙහි, සද්දෙති, සද්දයති, ශබ්දකරයි."
සද්ද,"(පු) නාදය; පදයක විභක්ති නොයෙදූ මූලාවස්ථාව; ශබ්දය."
සද්ද,"(පු) ශබ්දය, හඬ, නාදය."
සද්ද,"(භු) නීච, සද්දෙ, පහත් ශබ්දයෙහි සද්දති, ශබ්දකරයි."
සද්ද,"(භු) පීඩායං, පීඩාවෙහි සද්දති පීඩා කරයි."
සද්දග්ගහ,"(පු) ශබ්ද ග්‍ර‍හණය, කණ."
සද්දත්ථ,"(පු) පදාර්ථය; ‍ශබ්දයේ අර්ථය."
සද්දන,"(න) ශබ්ද කිරීම."
සද්දන,"(න) ශබ්ද කිරීම."
සද්දර,"(පු) කෙලෙස් දරථ සහිත."
සද්දල,"(පු) අලුත තෘණයෙන් වැසුණු පෙදෙස."
සද්දලා,"(පු) තෘණවලින් නිල්වූ ප්‍රදේශය, හීතණ."
සද්දවෙධී,"(පු) ශබ්දය ඇසූ පමණින් එතනට විදින්නා."
සද්දසත්ථ,"(න) ව්‍යාකරණ ශාස්ත්‍රය."
සද්දහති,"(සං+ධා+අ) අදහයි; විශ්වාස කරයි."
සද්දහන,"(න) ඇදහීම, ශ්‍රද්ධාව."
සද්දහන,"(න) ඇදහීම."
සද්දහනා,"(ඉ) ඇදහීම."
"සද්දහන්ත ","(3) අදහන; අදහමින්."
"සද්දහාතබ්බ ","(3) ඇදහිය යුතු."
සද්දහාතුං,"(නි) අදහන්ට."
"සද්දහාන ","(3) අදහන; අදහමින්."
"සද්දහිත ","(3) ඇදහූ."
"සද්දහිතබ්බ ","(3) ඇදහිය යුතු."
සද්දහිතුං,"(නි) අදහන්ට."
සද්දහිත්වා,"(පූ.ක්‍රි) අදහා; විශ්වාස කොට."
සද්දායති,"(ක්‍රි) (d වු සද්දෙ, සද්දනෙ, ශබ්ද කිරීමෙහි + ති) ශබ්දකරයි."
සද්දායති,"(න) ා ශබ්ද‍ කෙරේ."
"සද්දායන්ත ","(3) ශබ්ද කරන; ශබ්ද කරමින්."
"සද්දායමාන ","(3) ශබ්ද කරන; ශබ්ද කරමින්."
සද්දාල,"(ති) උතුම්දෙය."
"සද්දිත ","(3) නාදිත වූ; ශබ්ද කළ."
සද්දුල,"(පු) ශාදූර්ල, දිවියා, කොටියා."
සද්දූ,"(භු) සොසනෙ, වියලීමෙහි, නිල්වීමෙහි."
සද්දූල,"(පු) දිවියා."
සද්ධ,"(ති) ශ්‍රද්ධාසහිතයා, ඇදහීම ඇත්තා."
සද්ධ,"(න) මතක බත, මළවුන් පිණිස දෙනබත."
සද්ධං,"(අ) අනුකූලත්වයෙහි, අනුකූලබැව්හි."
"සද්ධ ","(3) මළවුන් පිණිස දෙන දානය; ශ්‍රද්ධා ඇති."
සද්ධම්ම,"(පු) යහපත් ධර්මය; සත්‍ය ධර්මය."
සද්ධම්ම,"(පු) සද්ධර්‍මය, සත්පුරුෂ ධර්‍මය, බුද්ධ ධර්‍මය."
සද්ධා,"(ඉ) ඇදහීම; භක්තිය; ශ්‍රද්ධාව."
සද්ධා,"(ඉ) ශ්‍රද්ධාව, තුනුරුවන් කෙරෙහි ඇදහිල්ල."
"සද්ධාතබ්බ ","(3) ඇදහිය යුතු; විශ්වාස කළ හැකි."
"සද්ධාදෙය්‍ය ","(3) ශ්‍රද්ධ‍වෙන් දෙන දෙය."
සද්ධාධන,"(න) ශ්‍රද්ධා නැමැති ධනය."
"සද්ධාධන ","(3) ශ්‍රද්ධාව ධනය කොට ඇති."
සද්ධානුසාරී,"(පු) එනම් පුද්ගලයා."
සද්ධාබල,"(න) ශ්‍රද්ධාබලය."
සද්ධායික,"(පු) ඇදහීම ඇති."
"සද්ධායික ","(3) විශ්වාස කළ හැකි."
සද්ධායිත,"(ති) ඇදහීම කළ හැකි."
"සද්ධාලු ","(3) ශ්‍රද්ධා‍ බහුල පුද්ගලයා."
සද්ධාලූ,"(පු) ශ්‍රද්ධාබහුලයා."
සද්ධාවිමුත්ති,"(ඉ) ශ්‍රද්ධා විමුක්තිය."
සද්ධිං,"(නි) සමග."
"සද්ධිංචර ","(3) සමග හැසිරෙන."
සද්ධින්ද්‍රිය,"(න) ශ්‍රද්ධෙන්ද්‍රියය."
"සද්ධිවාහාරී ","(3) සමග වසන්නා."
සද්ධිවිහාරික,"(පු) සමග හැසිරෙන්නා, සමග යන්නා."
"සද්ධිවිහාරික ","(3) එක්තැන වසන ශිෂ්‍යයා; සමග වසන්නා."
"සද්ධිවිහාරී ","(3) එක්තැන වසන ශිෂ්‍යයා."
සද්ධෙය්‍ය,"(ති) ඇදහිය යුතු, විස්වාශකටයුතු."
සධ,"(චු) තොසෙ, සතුටෙහි, සධෙති සධයති, සතුටුවෙයි."
"සධන ","(3) ධනවත්."
"සධම්මික ","(3) සමාන හැසිරීම් ඇත්තා."
සනං,"(අ) සතතයෙහි, නිතර."
සනති,"(ක්‍රි) (d) (භු) සනති, සෙවනෙ, සෙවනය කිරීමෙහි + ති) සේවනය කරයි, “සනතෙව බ්‍ර‍හාරඤ්ඤං”"
සනති,"(භු) සෙවනෙ, සේවය කිරීමෙහි සනති, සේවය කරයි."
සනති,"(සන+අ) මහත් සේ ශබ්ද කරයි."
සනන්තන,"(පු) නොනස්නාදෙය, පුරාණදෙය."
"සනන්තන ","(3) පුරාණ වූ; සදාකාලික."
"සනාභික ","(3) නැබ සහිත; බොස්ගෙඩිය සහිත."
සනිකං,"(අ) අතිශීඝ්‍රාර්ථයෙහි සෙමින් යනාර්ථයෙහි."
සනිත,"(ති) ධ්වනි යුක්ත වස්තු."
සනු,"(d) - (න) දානෙ, දීමෙහි, සනොති, දෙයි."
සන්ත,"(චු) අනුකූලෙ, අනුකූලක්‍රියායෙහි සන්තෙති, සන්තයති, අනුකූල ක්‍රියාකරයි."
සන්ත,"(චු) සන්තෙ, සංසිඳීමෙහි, සන්තෙති සන්තයති, සංසිඳෙයි."
සන්ත,"(ති) පූජ්‍ය, විද්‍යමාන, පසස්නාලද සත්‍යය, සත්පුරුෂ ශාන්ත."
සන්ත,"(ති) ශාන්ත, සුසීල."
සන්ත,"(න) නිවන."
සන්ත,"(පු) නාට්‍යරසය."
"සන්ත ","(3) ඇත්තා වූ; විද්‍යාමාන වූ; වෙහෙසට පත්; ශාන්ත; ශාන්ත වූ; සංසුන්; (පු) සත් පුරුෂයා‍."
සන්තක,"(ති) අයිති, අයත්."
සන්තක,"(න) දේපොල, වස්තුව."
"සන්තක ","(3) අයත්; අයිති දෙය; කෙළවරක් ඇති."
සන්තකද්දු,"(පු) පියාගස, පියල්ගස."
"සන්තකාය ","(3) සන්හුන් කයක් ඇති."
"සන්තජ්ජියමාන ","(3) තර්ජනය කරනු ලබන; තර්ජනය කරනු ලබමින්."
සන්තජ්ජෙති,"(ක්‍රි) (d) (චු) සන්ත, සන්තජ්ජනෙ, තැතිගැන්වීමෙහි + ණෙ + ති) තර්‍ජනය කරයි."
සන්තජ්ජෙති,"(සං+තජ්ජ+ණෙ) තර්ජනය කරයි; තරවටු කරයි."
සන්තජ්ජෙත්වා,"(පූ.ක්‍රි) තරවටු කොට; භය කොට."
සන්තත,"(න) නිරන්තරය."
සන්තතං,"(ක්‍රි.වි) නිරන්තරයෙන්."
"සන්තතර ","(3) වඩා ශාන්ත වූ."
සන්තති,"(ඉ) නොකඩව පැවැත්ම; පරම්පරාව."
සන්තති,"(ඉ) වංශය, පරම්පරාව."
සන්තත්ත,"(ති) තවනලද, රත්කළ දෙය, බියගැන්වූ, අවුල් කළ."
සන්තත්ත,"(න) ශාන්ත භාවය; සන්හුන් බව."
"සන්තත්ත ","(3) ඉතාරත් වූ; රත් කළ."
සන්තප්පති,"(ක්‍රි) - (d) (භු) තප්ප, සන්තප්පෙ, සන්තර්පණය, සන්තර්පණය කරයි, තෘප්තියට පැමිණෙයි."
සන්තප්පති,"(ක්‍රි) (d) (භු) තප, තපනෙ, තැවීමෙහි + ති) තවයි, රත්කරයි."
සන්තප්පති,"(ක්‍රි) (d) (භු) තප්ප, තප්පනෙ, තැවීමෙහි + ති) තවයි."
සන්තප්පති,"(සං+තප+ය) තැවේ; ශෝක කෙරේ."
සන්තප්පන,"(න) සන්තර්පණය, තෘප්තියට පැමිණීම, සෑහීමටයාම."
"සන්තප්පමාන ","(3) තැවෙන; තැවෙමින්; තෘප්තියට පත් කරමින්; තෘප්තියට පත් කොට."
"සන්තප්පිත ","(3) සන්තර්පණය කළ; සෑහී‍මට පත් කළ."
සන්තප්පිය,"(පූ.ක්‍රි) තෘප්තියට පත් කොට."
සන්තප්පෙති,"(සං+තප්ප+ණෙ) තෘප්තියට පත් කරයි; සන්තර්පණය කරයි."
සන්තප්පෙත්වා,"(පූ.ක්‍රි) තෘප්තියට පත් කොට."
"සන්තප්පෙන්ත ","(3) තෘප්තියට පත් කරන; තෘප්තියට පත් කරමින්."
සන්තභාව,"(පු) ශාන්ත භාවය; සන්හුන් බව."
"සන්තමානස ","(3) ශාන්ත සිතැති."
සන්තරති,"(සං+තර+අ) ඉක්මනින් යයි."
"සන්තරබාහිර ","(3) ඇතුළත පිටත සහිත."
සන්තරමාන,"(පු) ඉක්මන, ඉක්මන්ගමන."
"සන්තරමාන ","(3) ඉක්මන් වෙන; ඉක්මන් වෙමින්."
සන්තවා,"(ඉ) පොත්ත."
සන්තසති,"(සං+තස+අ) තැතිගැම්මට පැමිණේ."
සන්තසන,"(න) තැති ගැන්ම."
"සන්තසන්ත ","(3) තැති ගන්නා; තැතිගනිමින්."
"සන්තසිත ","(3) තැතිගත්."
සන්තසිත්වා,"(පූ.ක්‍රි) තැති ගෙන."
සන්තස්සති,"(ක්‍රි) සතුටුවෙයි, සන්තෝෂවෙයි."
සන්තාන,"(න) චිත්ත පරම්පරාව; දිව්‍ය වෘක්ෂයක නමක්; පරම්පරාව; පැතිරීම; මකුළු දැල."
සන්තාන,"(පු) කප්රුක, වංශය, ප්‍ර‍බන්ධය, අභ්‍යන්තරය."
සන්තානක,"(පු) පුත්‍ර‍යා, පුතා, “පුත්තෙ සන්තානකෙ බ්‍රෑමි.”"
සන්ත‍ානෙති,"(සං+තනු+ණෙ) නොකඩ කොට පවත්වයි."
සන්තාප,"(පු) උෂ්ණය; තැවීම; සිත් තැවුල."
සන්තාප,"(පු) තැවීම, උණුසුම් කිරීම."
"සන්තාපිත ","(3) උණුසුම් කළ; තැවූ; රත් කළ."
සන්තාපෙති,"(සං+තප+ණෙ) තවයි; රත් කරයි; සිත් තැවුල් ඇති කරයි."
සන්තාරණ,"(න) එතර කිරීම, එගොඩ කිරීම පරතෙරට යාම."
සන්තාරණ,"(න) එතර කිරීම."
සන්තාස,"(පු) තැති ගැන්ම."
සන්තාස,"(පු) සන්ත්‍රාසය, තැතිගැනීම."
සන්තාසනිය,"(පු) තැතිගැන්මට සුදුසු."
"සන්තාසී ","(3) ත්‍රාස ඇත්තා; තැති ගන්නා."
